Symbol	Description

AACG	Ata Creativity Global

AAL	American Airlines Gp

AAME	Atlantic Amer Cp

AAOI	Applied Optoelect

AAON	Aaon Inc

AAPL	Apple Inc

AAWW	Atlas Air Ww

AAXJ	All Country Asia Ex Japan Ishares MSCI ETF

AAXN	Axon Inc

ABCB	Ameris Bancorp

ABEO	Abeona Therapeutics

ABIO	Arca Biopharma Inc

ABMD	Abiomed Inc

ABTX	Allegiance Banc CS

ABUS	Arbutus Biopharma Cp

ACAD	Acadia Pharmaceutica

ACAM	Acamar Partners Acquisition Corp Cl A

ACAMU	Acamar Partners Acquisition Corp Units

ACAMW	Acamar Partners Acquisition Corp WT

ACBI	Atlantic Capital

ACER	Acer Therapeutics Inc

ACGL	Arch Capital Grp Ltd

ACGLO	Arch Capital Group Ltd ADR

ACGLP	Arch Capital Group Ltd

ACHC	Acadia Healthcr Company

ACHV	Achieve Life Sciences Inc

ACIA	Acacia Communica

ACIU	AC Immune S.A.

ACIW	Aci Worldwide Inc

ACLS	Axcelis Tech Inc

ACMR	Acm Research Inc

ACNB	Acnb Corp

ACOR	Acorda Therapeutics

ACRS	Aclaris Therapts

ACRX	Acelrx Pharmaceutica

ACST	Acasti Pharma

ACT	Advisorshares Vice ETF

ACTG	Acacia Res-Acacia

ACTT	Act II Global Acquisition Corp Cl A

ACTTU	Act II Global Acquisition Corp Unit

ACTTW	Act II Global Acquisition Corp WT

ACWI	ACWI Ishares MSCI ETF

ACWX	ACWI Ex US Ishares MSCI ETF

ADAP	Adaptimmune Ther Ads

ADBE	Adobe Systems Inc

ADES	Advanced Emissions Solutions Inc

ADI	Analog Devices

ADIL	Adial Pharmaceuticals Inc

ADILW	Adial Pharmaceuticals Inc WT

ADMA	Adma Biologics

ADMP	Adamis Pharmaceuticl

ADMS	Adamas Pharma

ADP	Automatic Data Procs

ADPT	Adaptive Biotechnologies Corp

ADRE	Bldrs Emerging Markets 50 ADR Index Fund Invesco

ADRO	Aduro Biotech

ADSK	Autodesk Inc

ADTN	Adtran Inc

ADUS	Addus Homecare Corp

ADVM	Adverum Biotechnlgs

ADXN	Addex Therapeutics Ltd ADR

ADXS	Advaxis Inc
